OCHS
a1a2b1b2_p  PS1S2
 0 0 0 0 0   0 1 0
 0 0 0 0 1   0 0 1
 0 0 0 1 0   x x x
 0 0 0 1 1   x x x
 0 0 1 0 0   x x x
 0 0 1 0 1   x x x
 0 0 1 1 0   0 0 0
 0 0 1 1 1   0 1 0
 0 1 0 0 0   1 1 1
 0 1 0 0 1   1 0 0
 0 1 0 1 0   x x x
 0 1 0 1 1   x x x
 0 1 1 0 0   x x x
 0 1 1 0 1   x x x
 0 1 1 1 0   0 0 1
 0 1 1 1 1   1 1 1
 1 0 0 0 0   0 0 1
 1 0 0 0 1   1 1 1
 1 0 0 1 0   x x x
 1 0 0 1 1   x x x
 1 0 1 0 0   x x x
 1 0 1 0 1   x x x
 1 0 1 1 0   0 1 0
 1 0 1 1 1   0 0 1
 1 1 0 0 0   0 0 0
 1 1 0 0 1   0 1 0
 1 1 0 1 0   x x x
 1 1 0 1 1   x x x
 1 1 1 0 0   x x x
 1 1 1 0 1   x x x
 1 1 1 1 0   0 1 1
 1 1 1 1 1   0 0 0
