OCHU
x1x2y1y2_h  P1P2P3P4
 0 0 0 0 0   1 1 1 1
 0 0 0 0 1   1 1 0 0
 0 0 0 1 0   1 1 0 0
 0 0 0 1 1   1 1 0 0
 0 0 1 0 0   1 1 1 0
 0 0 1 0 1   1 1 0 0
 0 0 1 1 0   x x x x
 0 0 1 1 1   x x x x
 0 1 0 0 0   1 1 1 1
 0 1 0 0 1   1 1 0 1
 0 1 0 1 0   1 1 0 1
 0 1 0 1 1   1 1 0 1
 0 1 1 0 0   0 0 1 0
 0 1 1 0 1   1 1 0 1
 0 1 1 1 0   x x x x
 0 1 1 1 1   x x x x
 1 0 0 0 0   1 1 1 1
 1 0 0 0 1   1 1 1 0
 1 0 0 1 0   1 1 1 0
 1 0 0 1 1   1 1 1 0
 1 0 1 0 0   0 0 1 1
 1 0 1 0 1   1 1 1 0
 1 0 1 1 0   x x x x
 1 0 1 1 1   x x x x
 1 1 0 0 0   1 1 1 1
 1 1 0 0 1   1 1 1 1
 1 1 0 1 0   1 1 1 1
 1 1 0 1 1   1 1 1 1
 1 1 1 0 0   1 1 1 1
 1 1 1 0 1   1 1 1 1
 1 1 1 1 0   x x x x
 1 1 1 1 1   x x x x
