"z#(Z − z)","xx000","1xx00","1x1x0","x10xx","x1xx1","x1x1x","11xxx","xx11x"
"xx000","----","1x100","1x1x0","x101x
x10x1","x1xx1","x1x1x","111xx
11x1x
11xx1","xx11x"
"1xx00","0x000","----","1x110","x101x
x10x1","x1xx1","x1x1x","1111x
111x1
11x1x
11xx1","xx11x"
"1x1x0","0x000","","----","x101x
x10x1","x1xx1","01x1x
x101x
x1x11","11111
111x1
1101x
11x11
11xx1","0x11x
xx111"
"x10xx","00000","","1x110","----","x11x1","0111x
x1111","11111
111x1","0x11x
xx111"
"x1xx1","00000","","1x110","x1010","----","01110","","0011x
0x110
x0111"
"x1x1x","00000","","10110","","x1101","----","","0011x
x0111"
"11xxx","00000","","10110","","01101","01110","----","0011x
x0111"
"xx11x","00000","","","","01101","","","----"
"ost","00000","","","","01101","","","0011x
x0111"
