"Ci*Ci","00000","01000","01001","01010","01011","01101","10000","10100","11000","11001","11010","11011","11100","11101","00110","00111","01110","01111","10110","10111","11110","11111"
"00000","----","","","","","","","","","","","","","","","","","","","","",""
"01000","0y000","----","","","","","","","","","","","","","","","","","","","",""
"01001","","0100y","----","","","","","","","","","","","","","","","","","","",""
"01010","","010y0","","----","","","","","","","","","","","","","","","","","",""
"01011","","","010y1","0101y","----","","","","","","","","","","","","","","","","",""
"01101","","","01y01","","","----","","","","","","","","","","","","","","","",""
"10000","y0000","","","","","","----","","","","","","","","","","","","","","",""
"10100","","","","","","","10y00","----","","","","","","","","","","","","","",""
"11000","","y1000","","","","","1y000","","----","","","","","","","","","","","","",""
"11001","","","y1001","","","","","","1100y","----","","","","","","","","","","","",""
"11010","","","","y1010","","","","","110y0","","----","","","","","","","","","","",""
"11011","","","","","y1011","","","","","110y1","1101y","----","","","","","","","","","",""
"11100","","","","","","","","1y100","11y00","","","","----","","","","","","","","",""
"11101","","","","","","y1101","","","","11y01","","","1110y","----","","","","","","","",""
"00110","","","","","","","","","","","","","","","----","","","","","","",""
"00111","","","","","","","","","","","","","","","0011y","----","","","","","",""
"01110","","","","01y10","","","","","","","","","","","0y110","","----","","","","",""
"01111","","","","","01y11","011y1","","","","","","","","","","0y111","0111y","----","","","",""
"10110","","","","","","","","101y0","","","","","","","y0110","","","","----","","",""
"10111","","","","","","","","","","","","","","","","y0111","","","1011y","----","",""
"11110","","","","","","","","","","","11y10","","111y0","","","","y1110","","1y110","","----",""
"11111","","","","","","","","","","","","11y11","","111y1","","","","y1111","","1y111","1111y","----"
"Ai","0x000
x0000","0100x
010x0
x1000","010x1
01x01
x1001","0101x
x1010
01x10","x1011
01x11","x1101
011x1","10x00
1x000","1x100
101x0","1100x
110x0
11x00","110x1
11x01","1101x
11x10","11x11","1110x
111x0","111x1","0011x
0x110
x0110","0x111
x0111","0111x
x1110","x1111","1011x
1x110","1x111","1111x",""
