"Ci*Ci","xx000","010xx","x100x","x10x0","01xx1","x10x1","x1x01","x101x","01x1x","x1x10","x1x11","x11x1","1xx00","1x1x0","110xx","11x0x","11xx0","11xx1","11x1x","111xx","0x11x","x011x","xx110","xx111","x111x","1x11x"
"xx000","----","","","","","","","","","","","","","","","","","","","","","","","","",""
"010xx","01000","----","","","","","","","","","","","","","","","","","","","","","","","",""
"x100x","x1000","0100x","----","","","","","","","","","","","","","","","","","","","","","","",""
"x10x0","x1000","010x0","x1000","----","","","","","","","","","","","","","","","","","","","","","",""
"01xx1","0100y","010x1","01001","010xy","----","","","","","","","","","","","","","","","","","","","","",""
"x10x1","x100y","010x1","x1001","x10xy","010x1","----","","","","","","","","","","","","","","","","","","","",""
"x1x01","x100y","01001","x1001","x100y","01x01","x1001","----","","","","","","","","","","","","","","","","","","",""
"x101x","x10y0","0101x","x10yx","x1010","01011","x1011","x10y1","----","","","","","","","","","","","","","","","","","",""
"01x1x","010y0","0101x","010yx","01010","01x11","01011","01xy1","0101x","----","","","","","","","","","","","","","","","","",""
"x1x10","x10y0","01010","x10y0","x1010","01x1y","x101y","","x1010","01x10","----","","","","","","","","","","","","","","","",""
"x1x11","","01011","x10y1","x101y","01x11","x1011","x1xy1","x1011","01x11","x1x1y","----","","","","","","","","","","","","","","",""
"x11x1","","01yx1","x1y01","","011x1","x1yx1","x1101","x1y11","01111","x111y","x1111","----","","","","","","","","","","","","","",""
"1xx00","1x000","y1000","11000","11000","","1100y","11x0y","110y0","","11xy0","","1110y","----","","","","","","","","","","","","",""
"1x1x0","1xy00","","11y00","11yx0","","","1110y","11y10","y1110","11110","1111y","111xy","1x100","----","","","","","","","","","","","",""
"110xx","11000","y10xx","1100x","110x0","y10x1","110x1","11001","1101x","y101x","11010","11011","11yx1","11000","11yx0","----","","","","","","","","","","",""
"11x0x","11000","y100x","1100x","11000","y1x01","11001","11x01","110yx","","11xy0","11xy1","11101","11x00","11100","1100x","----","","","","","","","","","",""
"11xx0","11000","y10x0","11000","110x0","","110xy","11x0y","11010","y1x10","11x10","11x1y","111xy","11x00","111x0","110x0","11x00","----","","","","","","","","",""
"11xx1","1100y","y10x1","11001","110xy","y1xx1","110x1","11x01","11011","y1x11","11x1y","11x11","111x1","11x0y","111xy","110x1","11x01","11xxy","----","","","","","","","",""
"11x1x","110y0","y101x","110yx","11010","y1x11","11011","11xy1","1101x","y1x1x","11x10","11x11","11111","11xy0","11110","1101x","11xyx","11x10","11x11","----","","","","","","",""
"111xx","11y00","","11y0x","11yx0","y11x1","11yx1","11101","11y1x","y111x","11110","11111","111x1","11100","111x0","11yxx","1110x","111x0","111x1","1111x","----","","","","","",""
"0x11x","","01y1x","","01y10","01111","01y11","011y1","01y1x","0111x","01110","01111","01111","","yx110","","","y1110","y1111","y111x","y111x","----","","","","",""
"x011x","","","","","0y111","","","","0y11x","xy110","xy111","xy111","101y0","10110","","","1y110","1y111","1y11x","1y11x","0011x","----","","","",""
"xx110","","01y10","","x1y10","0111y","","","x1y10","01110","x1110","x111y","x111y","1x1y0","1x110","11y10","111y0","11110","1111y","11110","11110","0x110","x0110","----","","",""
"xx111","","01y11","","","01111","x1y11","x11y1","x1y11","01111","x111y","x1111","x1111","","1x11y","11y11","111y1","1111y","11111","11111","11111","0x111","x0111","xx11y","----","",""
"x111x","","01y1x","","x1y10","01111","x1y11","x11y1","x1y1x","0111x","x1110","x1111","x1111","111y0","11110","11y1x","111yx","11110","11111","1111x","1111x","0111x","xy11x","x1110","x1111","----",""
"1x11x","","","","11y10","y1111","11y11","111y1","11y1x","y111x","11110","11111","11111","1x1y0","1x110","11y1x","111yx","11110","11111","1111x","1111x","yx11x","1011x","1x110","1x111","1111x","----"
A3,"","x10xx","x10xx","x10xx","x1xx1","x1xx1","x1xx1","x1x1x","x1x1x","x1x1x","","","","","11xxx","11xxx","11xxx","","","","xx11x","xx11x","xx11x","","",""
